Original,id_Developer
Paon Corporation,1109
Tenyo,1110
B.B.Studio,1111
EA Phenomic,1112
AQ Interactive,1113
Buena Vista Games,1114
"Rare Ltd., BigPark",1115
Human Head Studios,1116
Ambrella,1117
Reality Pump,1118
"10tacle Studios, Fusionsphere Systems",1119
MileStone Inc.,1120
Arcade Moon,1121
Oberon Media,1122
Fizz Factor,1123
Spicy Horse,1124
Loose Cannon Studios,1125
"Capcom, Klein Computer Entertainment",1126
iNiS,1127
"Monolith Soft, Namco Bandai Games",1128
Black Ops Entertainment,1129
Studio Archcraft,1130
DreamFactory,1131
Big John Games,1132
"Ubisoft, Moss",1133
I-Imagine,1134
"Metanet Software Inc., SilverBirch Studios",1135
Gameinvest,1136
Conspiracy Entertainment,1137
"Team 17, Two Tribes",1138
Frogwares,1139
PAWS,1140
"Orbital Media, Inc.",1141
Housemarque,1142
"SCE Japan Studio, comcept",1143
Big Ant Studios,1144
Big Sky Software,1145
syn Sophia,1146
ITL,1147
Next Entertainment,1148
Creative Patterns,1149
Iron Lore Entertainment,1150
Eugen Systems,1151
The Learning Company,1152
ZootFly,1153
Check Six Games,1154
EA Salt Lake,1155
Evolution Games,1156
Certain Affinity,1157
Keen Games,1158
"Examu, Marvelous Inc.",1159
SEK Ost,1160
Just Add Monsters,1161
HandMade Game,1162
puzzle.tv,1163
Beluga Computer,1164
"Monolith Soft, Banpresto",1165
RED Entertainment,1166
"Square Enix, h.a.n.d. Inc.",1167
"SCEA, Zindagi Games",1168
Bungie Software,1169
Konami Software Shanghai,1170
WBIE,1171
Ubisoft Shanghai/Paris,1172
Light Weight,1173
"Atari, Transmission Games, Atari SA",1174
Isopod Labs,1175
"Ritual Entertainment, Avalanche Software",1176
Takara,1177
Pentavision Entertainment,1178
"Krome Studios, Screenlife Games",1179
"Level 5, Brownie Brown",1180
Felistella,1181
Studio 33,1182
"Venan Entertainment, Cashmere Prod.",1183
"SCE/WWS, Media Molecule",1184
"Amaze Entertainment, Walt Disney Japan",1185
"Capcom, QLOC",1186
"Entersphere, Inc.",1187
Zen Studios,1188
VSTEP,1189
Vigil Games,1190
Sacnoth,1191
"Omega Force, Tecmo Koei Games",1192
SpiderMonk,1193
VIS Entertainment,1194
"Dimps Corporation, Namco Bandai Games",1195
Game Freak,1196
"SCEA, Sims",1197
"Shift, Bandai Namco Games",1198
Confounding Factor,1199
"Red Storm Entertainment, Ubisoft Montreal",1200
Gorilla Games,1201
Hypnotix,1202
Ravenscourt,1203
Lexis Numerique,1204
369 Interactive,1205
Glyphic Entertainment,1206
"Ascaron Entertainment GmbH, Ascaron Entertainment",1207
Clockwork Games,1208
BeeWorks,1209
G1M2,1210
Seta Corporation,1211
Amanita Design,1212
EM Studios,1213
Fuse Games Limited,1214
Crafts & Meister,1215
Stalker Entertainment,1216
"Kojima Productions, Moby Dick Studio",1217
KnowWonder,1218
Gratuitous Games,1219
Liquid Entertainment,1220
EKO Software,1221
Pacific Century Cyber Works,1222
Rockstar Toronto,1223
"Atlus, Dingo Inc.",1224
"Banpresto, SoftMax",1225
"Bigben Interactive, Red Wagon Games",1226
Platinum Egg,1227
Colossal Order,1228
Kodiak Interactive,1229
"Media Vision, Contrail",1230
Nixxes Software,1231
EA Sports Big,1232
Storm City Games,1233
Realism Ltd,1234
Andamiro U.S.A. Corp.,1235
Phantagram,1236
Kamui,1237
The Code Monkeys,1238
"Activision, Traveller's Tales",1239
Raylight Studios,1240
Deep Silver Dambuster Studios,1241
Funcom,1242
Midway Studios - Los Angeles,1243
Small Rockets,1244
