Genre,Publisher,NA_Sales,EU_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Rating
3.0,35.0,0.05,0.0,0.0,0.05,66.0,4.0,-1.0,-1.0,0
2.0,2.0,0.08,0.0,0.01,0.08,-1.0,-1.0,-1.0,-1.0,1
2.0,8.0,0.05,0.0,0.0,0.06,-1.0,-1.0,-1.0,-1.0,1
1.0,5.0,0.59,0.46,0.15,1.2,92.0,22.0,8.5,26.0,0
7.0,5.0,0.62,0.78,0.15,1.56,83.0,54.0,8.5,134.0,1
1.0,25.0,0.14,0.08,0.02,0.25,56.0,45.0,6.4,29.0,1
2.0,15.0,0.17,0.18,0.04,0.59,82.0,53.0,8.7,39.0,0
9.0,10.0,0.03,0.02,0.02,0.35,83.0,11.0,8.4,25.0,1
8.0,8.0,0.07,0.1,0.03,0.21,-1.0,-1.0,-1.0,-1.0,-1
1.0,20.0,3.45,2.59,0.66,6.71,-1.0,-1.0,-1.0,-1.0,0
7.0,32.0,0.03,0.01,0.0,0.04,53.0,17.0,-1.0,-1.0,1
8.0,5.0,0.4,0.26,0.11,0.83,82.0,52.0,4.3,1197.0,2
3.0,3.0,0.0,0.0,0.0,0.15,-1.0,-1.0,-1.0,-1.0,-1
1.0,25.0,0.1,0.0,0.01,0.11,72.0,9.0,-1.0,-1.0,0
5.0,68.0,0.0,0.03,0.0,0.03,-1.0,-1.0,-1.0,-1.0,-1
1.0,8.0,0.43,0.16,0.01,0.6,86.0,9.0,7.7,9.0,0
8.0,5.0,0.13,0.07,0.44,0.64,-1.0,-1.0,8.3,13.0,3
8.0,38.0,0.4,0.48,0.29,1.17,76.0,8.0,7.6,11.0,3
10.0,22.0,0.16,0.05,0.01,0.22,58.0,37.0,7.0,14.0,2
8.0,56.0,0.46,0.47,0.11,1.03,67.0,12.0,7.0,8.0,3
2.0,8.0,0.13,0.13,0.03,0.28,-1.0,-1.0,-1.0,-1.0,0
9.0,41.0,0.11,0.0,0.01,0.12,59.0,30.0,6.2,17.0,3
1.0,8.0,0.03,0.0,0.0,0.03,41.0,4.0,8.0,6.0,0
2.0,69.0,0.15,0.0,0.01,0.16,-1.0,-1.0,-1.0,-1.0,0
12.0,70.0,0.32,0.22,0.04,0.58,-1.0,-1.0,-1.0,-1.0,-1
1.0,5.0,0.09,0.06,0.01,0.16,-1.0,-1.0,-1.0,-1.0,-1
8.0,,0.0,0.0,0.0,0.04,-1.0,-1.0,-1.0,-1.0,-1
1.0,7.0,0.06,0.02,0.0,0.08,82.0,12.0,8.4,5.0,0
5.0,22.0,0.03,0.02,0.0,0.05,-1.0,-1.0,-1.0,-1.0,-1
1.0,5.0,0.15,0.05,0.04,0.24,43.0,25.0,2.7,175.0,0
5.0,1.0,0.16,0.0,0.01,0.18,-1.0,-1.0,6.0,6.0,0
1.0,19.0,0.1,0.08,0.03,0.21,89.0,25.0,7.8,17.0,0
8.0,26.0,0.04,0.0,0.0,0.07,56.0,17.0,-1.0,-1.0,3
6.0,54.0,0.09,0.04,0.01,0.14,-1.0,-1.0,-1.0,-1.0,-1
1.0,71.0,0.0,0.0,0.0,0.12,-1.0,-1.0,-1.0,-1.0,-1
2.0,56.0,0.26,0.0,0.02,0.28,-1.0,-1.0,-1.0,-1.0,-1
1.0,25.0,0.07,0.04,0.01,0.13,85.0,17.0,7.0,43.0,0
8.0,29.0,2.85,0.38,0.24,3.49,89.0,81.0,8.3,693.0,2
10.0,49.0,0.28,0.22,0.07,0.58,77.0,23.0,6.8,13.0,2
8.0,40.0,0.29,0.02,0.03,0.34,58.0,42.0,5.3,21.0,1
8.0,72.0,0.0,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,-1
4.0,29.0,0.13,0.1,0.03,0.26,-1.0,-1.0,-1.0,-1.0,-1
8.0,73.0,1.08,0.73,0.31,2.27,71.0,41.0,6.6,405.0,2
10.0,8.0,0.02,0.0,0.0,0.03,-1.0,-1.0,7.3,4.0,1
11.0,15.0,0.46,0.21,0.06,0.86,76.0,42.0,8.5,26.0,3
1.0,1.0,0.53,0.18,0.06,0.77,70.0,36.0,6.5,15.0,0
9.0,19.0,0.11,0.03,0.01,0.15,-1.0,-1.0,-1.0,-1.0,-1
10.0,18.0,0.07,0.03,0.01,0.11,53.0,61.0,4.7,73.0,2
1.0,3.0,0.0,0.0,0.03,0.45,-1.0,-1.0,-1.0,-1.0,-1
12.0,1.0,0.13,0.05,0.0,0.18,-1.0,-1.0,-1.0,-1.0,-1
5.0,19.0,0.0,0.0,0.0,0.36,-1.0,-1.0,-1.0,-1.0,-1
3.0,53.0,0.0,0.01,0.0,0.01,66.0,13.0,6.2,21.0,1
9.0,74.0,0.0,0.0,0.0,0.08,-1.0,-1.0,-1.0,-1.0,-1
1.0,25.0,0.3,0.04,0.03,0.37,80.0,20.0,7.4,8.0,0
1.0,75.0,0.22,0.15,0.03,0.4,-1.0,-1.0,-1.0,-1.0,-1
5.0,76.0,0.0,0.0,0.0,0.11,-1.0,-1.0,-1.0,-1.0,-1
4.0,77.0,0.07,0.05,0.02,0.3,-1.0,-1.0,-1.0,-1.0,-1
12.0,45.0,0.03,0.01,0.0,0.04,42.0,16.0,-1.0,-1.0,1
8.0,19.0,0.22,0.0,0.02,0.24,50.0,15.0,-1.0,-1.0,3
8.0,78.0,0.0,0.07,0.0,0.08,65.0,5.0,5.6,8.0,3
8.0,5.0,0.71,0.49,0.12,1.34,84.0,72.0,7.5,533.0,2
4.0,21.0,0.06,0.05,0.02,0.12,65.0,33.0,6.9,7.0,1
2.0,58.0,0.0,0.0,0.0,0.01,-1.0,-1.0,-1.0,-1.0,-1
12.0,8.0,0.78,0.45,0.07,1.31,69.0,25.0,7.4,25.0,3
2.0,8.0,3.49,0.01,1.48,4.98,82.0,24.0,8.2,46.0,1
1.0,19.0,0.44,0.34,0.11,0.89,85.0,16.0,7.5,6.0,0
8.0,26.0,0.04,0.11,0.03,0.28,-1.0,-1.0,-1.0,-1.0,-1
9.0,9.0,0.0,0.0,0.0,0.02,-1.0,-1.0,-1.0,-1.0,-1
8.0,3.0,0.0,0.0,0.0,0.08,-1.0,-1.0,-1.0,-1.0,-1
5.0,9.0,0.03,0.03,0.01,0.07,61.0,31.0,7.7,9.0,2
2.0,79.0,0.02,0.01,0.0,0.04,-1.0,-1.0,-1.0,-1.0,-1
7.0,18.0,0.0,0.02,0.0,0.02,78.0,35.0,6.2,257.0,0
1.0,80.0,0.01,0.01,0.0,0.03,-1.0,-1.0,6.6,5.0,0
